Title,Short_Title,Location,Java,Min Experience,Max Experience,Min Salary,Max Salary,Spring Boot,SQL,Git,Microservices,Hibernate,Power_BI,Excel,Python,Visualization,spark,Cloud_Computing,manual_testing,regression_testing,automation_testing,software_testing,Kubernetes,Docker,Jenkins,CI/CD
Test Engineer - Selenium with Java Job,Java,Pune,1,1,2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Java Full Stack Developer,Java,Pune,1,0,0,4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Full Stack Developer (Java, React, Angular)",Java,Pune,1,0,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fullstack Engineer II,Java,Pune,0,1,4,,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Microservices Developer,Java,Pune,1,5,10,,,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Frontend Developer & Backend Developer Fullstack Developer Fresher Exp,Java,Pune,1,0,1,3.75,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Developer,Java,Pune,1,4,6,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
JAVA DEVELOPER,Java,Hyderabad,1,5,6,,,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Java developer,Java,Hyderabad,1,2,4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Java Developer,Java,NA,1,3,5,,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Java Developer,Java,Hyderabad,1,5,8,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Java Full Stack Developer,Java,Hyderabad,1,6,11,15,27.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Full Stack Developer - HYD - Upto 30LPA,Java,Hyderabad,1,7,12,17,27.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Software Engineer - Java, Springboot, AWS, Kafka",Java,Pune,1,4,8,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Senior Software Engineer - Java/.Net/C#,Java,Pune,1,4,8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Java Microservices Engineer,Java,Pune,1,3,7,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Developers,Java,NA,1,1,2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Developer,Java,Gurugram,1,5,7,,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Application Developer-Java & Web Technologies,Java,NA,1,2,5,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Sr Java Developer Hyderabad / Visakhapatnam,Java,Hyderabad,1,2,12,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java J2EE Technical Project Lead,Java,NA,1,8,10,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java J2EE Technical Project Lead,Java,NA,1,8,10,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Java J2EE Technical Project Lead,Java,NA,1,8,10,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Developer,Java,NA,1,6,10,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Developer,Java,Pune,1,8,12,20,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Software Engineer Full Stack,Java,Pune,0,1,5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Sr Java Developer,Java,Delhi,1,4,5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Java Developer with AWS,Java,Gurugram,1,2,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Lead Engineer (Java),Java,Gurugram,1,10,12,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Developer (AWS),Java,NA,1,5,10,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Java Developer,Java,NA,1,5,10,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Application Developer - Java Microservices,Java,Pune,1,6,10,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Developer,Java,Pune,1,5,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sr. Specialist Software Engineer (Java),Java,Pune,1,11,15,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Sr. Specialist Software Engineer (Java),Java,Pune,1,4,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
