iter	MultiClass
0	1.236475752
1	1.144937819
2	1.087038692
3	1.039289523
4	1.007934604
5	0.9816667168
6	0.9612970485
7	0.9463270879
8	0.9334951521
9	0.9212294325
10	0.9119433444
11	0.9058825851
12	0.8984566587
13	0.8922085896
14	0.8888397117
15	0.8841875778
16	0.880796227
17	0.8776517416
18	0.8739841983
19	0.8714896789
20	0.8676433792
21	0.8645439497
22	0.8618981471
23	0.8596390601
24	0.8579638191
25	0.8563510319
26	0.8551338594
27	0.8540375998
28	0.8525175329
29	0.8511835174
30	0.8498392019
31	0.8478650895
32	0.8464323451
33	0.8451161863
34	0.8440354746
35	0.8431641799
36	0.8414009418
37	0.8402920219
38	0.8392563564
39	0.8385696084
40	0.8367115233
41	0.8348714188
42	0.8330881135
43	0.8317112655
44	0.8306398822
45	0.8294934536
46	0.8281436469
47	0.8270983825
48	0.8262752332
49	0.8253709603
50	0.8245219133
51	0.8236582926
52	0.823104298
53	0.8222171181
54	0.820965385
55	0.8201675026
56	0.8193544163
57	0.8187854559
58	0.8181290102
59	0.8169642278
60	0.8161253803
61	0.8150698859
62	0.8142085687
63	0.8135873807
64	0.8129829248
65	0.8119202282
66	0.8112219956
67	0.8102000713
68	0.809553801
69	0.8088766395
70	0.8084081952
71	0.8072042054
72	0.8067802876
73	0.8061702782
74	0.8054719866
75	0.8048745581
76	0.8040536137
77	0.8034587909
78	0.8023463682
79	0.8014207905
80	0.801190518
81	0.8006621771
82	0.7999632853
83	0.7992448334
84	0.7987086715
85	0.7981730132
86	0.797649066
87	0.7967338623
88	0.7964609604
89	0.796371299
90	0.7955347583
91	0.794985048
92	0.7942976006
93	0.7938489343
94	0.7931898159
95	0.7927703878
96	0.7924356523
97	0.7916530296
98	0.7912236791
99	0.7907064436
100	0.790167734
101	0.7894250447
102	0.7888693771
103	0.7884204571
104	0.78816239
105	0.7876474547
106	0.7872370429
107	0.786898674
108	0.7864722981
109	0.7861452617
110	0.785928687
111	0.7852450312
112	0.7847898427
113	0.7840530877
114	0.783533279
115	0.7830732832
116	0.7826052115
117	0.7817917877
118	0.7812091862
119	0.7806636035
120	0.7802577493
121	0.7796103569
122	0.7794172661
123	0.7790182262
124	0.7785050863
125	0.7782563936
126	0.7779269515
127	0.7777060313
128	0.7771119359
129	0.7763926117
130	0.7760641603
131	0.7755400145
132	0.7750228583
133	0.7744615071
134	0.774218214
135	0.774074854
136	0.7736092215
137	0.773245382
138	0.7729256455
139	0.7724756612
140	0.7723479508
141	0.7718083295
142	0.7714961026
143	0.7710061617
144	0.7706148789
145	0.7703380772
146	0.769926301
147	0.7695616965
148	0.768971773
149	0.7688498801
150	0.7685518553
151	0.7683180938
152	0.7678516555
153	0.7674782944
154	0.7671551873
155	0.7667699242
156	0.7660402215
157	0.7656747236
158	0.7651326016
159	0.7648839779
160	0.7645312441
161	0.7641876739
162	0.7639676911
163	0.7638526868
164	0.7634726564
165	0.7629372084
166	0.7625180234
167	0.7620900982
168	0.7618088831
169	0.7614219662
170	0.7610367039
171	0.7606789608
172	0.7603128081
173	0.7600153299
174	0.7595992127
175	0.7591797489
176	0.7589398711
177	0.7585525249
178	0.7582149746
179	0.7576110135
180	0.7573545551
181	0.7571781046
182	0.7570400336
183	0.7567608762
184	0.7564818497
185	0.7560854228
186	0.755906108
187	0.7554093447
188	0.7551431275
189	0.7549062803
190	0.7544736473
191	0.7539552562
192	0.7536276351
193	0.753374644
194	0.7528380334
195	0.7523520562
196	0.7520879205
197	0.7517356232
198	0.7513719587
199	0.7508911403
200	0.7505646754
201	0.7503821117
202	0.7501061324
203	0.7499364286
204	0.749606733
205	0.7491889025
206	0.7488204928
207	0.7485494489
208	0.7480984708
209	0.7480036438
210	0.7476050494
211	0.7473801654
212	0.7470556788
213	0.7468147628
214	0.7465820296
215	0.7463130205
216	0.7462181006
217	0.7458334612
218	0.7454372998
219	0.7452529441
220	0.7450256105
221	0.7446922753
222	0.7444010165
223	0.7441022633
224	0.74384354
225	0.7437126137
226	0.74352183
227	0.7432498575
228	0.7430759184
229	0.7429118255
230	0.7426710174
231	0.7423702919
232	0.7420263635
233	0.7416317162
234	0.7414154399
235	0.7410344505
236	0.7407052304
237	0.7404953728
238	0.7401366324
239	0.7399887002
240	0.7397953874
241	0.7394355738
242	0.7390493104
243	0.7387612546
244	0.7385616365
245	0.7384042001
246	0.7380714928
247	0.7377738487
248	0.7372888229
249	0.7369480487
250	0.7365938443
251	0.736493032
252	0.736228729
253	0.7360300602
254	0.7356757324
255	0.7354400469
256	0.7351219499
257	0.7345760368
258	0.7343653948
259	0.7340126595
260	0.7336583783
261	0.7335239631
262	0.7330802375
263	0.732798045
264	0.732722162
265	0.7323495803
266	0.731938466
267	0.7315513572
268	0.7312989988
269	0.731024098
270	0.7305744398
271	0.7301970927
272	0.7299479045
273	0.7297538042
274	0.729517754
275	0.7294119542
276	0.7292225868
277	0.729052591
278	0.7287727188
279	0.7284819328
280	0.7283188272
281	0.7280189253
282	0.7274923693
283	0.7272295352
284	0.7271045329
285	0.727057148
286	0.7268745787
287	0.726579727
288	0.7262057087
289	0.7260017154
290	0.7256813691
291	0.725493756
292	0.7252912665
293	0.7250064854
294	0.7249056761
295	0.724690613
296	0.7244655215
297	0.7240827428
298	0.7239355726
299	0.7235345116
300	0.7232406396
301	0.7229993904
302	0.7229156539
303	0.7227584214
304	0.7223577151
305	0.7220929997
306	0.7219620809
307	0.7215322776
308	0.7212524921
309	0.7209373067
310	0.7208160096
311	0.7206779657
312	0.7204422816
313	0.7199747725
314	0.7195524917
315	0.7193800261
316	0.7190653088
317	0.7189843915
318	0.718752415
319	0.7186796414
320	0.7184897151
321	0.7182932571
322	0.7180101929
323	0.7175405224
324	0.7174290241
325	0.7171489481
326	0.716890904
327	0.7166634699
328	0.7165162912
329	0.7163755221
330	0.7162258877
331	0.7160050894
332	0.7157372586
333	0.715565052
334	0.7154460287
335	0.7151994877
336	0.7149766698
337	0.7148080504
338	0.7146507025
339	0.7144847708
340	0.7142556513
341	0.714155794
342	0.7139229731
343	0.7137987618
344	0.7135704184
345	0.7134445077
346	0.7131067581
347	0.7129187331
348	0.712736611
349	0.7124992294
350	0.7122107232
351	0.7119664652
352	0.7119115933
353	0.7116429436
354	0.7114628627
355	0.7112874787
356	0.7112261691
357	0.7111007732
358	0.7108785083
359	0.7107487013
360	0.7105855631
361	0.7102801131
362	0.7102070404
363	0.709935492
364	0.7096456363
365	0.7093538526
366	0.7091011952
367	0.7089937509
368	0.7088228601
369	0.7086676606
370	0.70835619
371	0.7079846236
372	0.7078347984
373	0.7075754371
374	0.7073685191
375	0.7072796061
376	0.70715218
377	0.7067421639
378	0.706537117
379	0.7063226556
380	0.706123665
381	0.7058782135
382	0.7054787118
383	0.7053373778
384	0.7051568879
385	0.7051103409
