iter	Passed	Remaining
0	31	31119
1	45	22503
2	60	20009
3	73	18341
4	87	17378
5	101	16792
6	114	16308
7	128	15966
8	142	15682
9	155	15424
10	170	15364
11	183	15124
12	197	15027
13	210	14858
14	224	14742
15	238	14661
16	251	14536
17	266	14519
18	282	14582
19	297	14579
20	312	14583
21	329	14639
22	344	14652
23	360	14655
24	375	14663
25	391	14661
26	406	14655
27	421	14645
28	437	14645
29	453	14651
30	467	14614
31	482	14585
32	498	14618
33	514	14625
34	530	14631
35	545	14611
36	561	14608
37	575	14576
38	588	14506
39	601	14445
40	614	14382
41	628	14328
42	641	14276
43	654	14228
44	668	14191
45	682	14155
46	695	14109
47	709	14077
48	723	14035
49	736	13993
50	749	13941
51	762	13896
52	775	13852
53	788	13818
54	802	13796
55	816	13771
56	831	13754
57	843	13700
58	857	13678
59	871	13649
60	884	13622
61	898	13588
62	911	13551
63	923	13510
64	948	13644
65	962	13619
66	979	13638
67	996	13659
68	1010	13640
69	1025	13626
70	1040	13619
71	1055	13607
72	1069	13582
73	1083	13553
74	1097	13535
75	1111	13516
76	1125	13496
77	1139	13467
78	1152	13436
79	1167	13421
80	1179	13382
81	1192	13346
82	1205	13318
83	1219	13294
84	1232	13262
85	1246	13245
86	1260	13223
87	1274	13207
88	1287	13177
89	1300	13144
90	1313	13120
91	1327	13098
92	1340	13075
93	1353	13045
94	1366	13019
95	1379	12991
96	1392	12961
97	1406	12941
98	1419	12920
99	1433	12905
100	1447	12880
101	1459	12853
102	1473	12828
103	1488	12823
104	1501	12795
105	1514	12773
106	1527	12748
107	1540	12724
108	1553	12699
109	1566	12677
110	1580	12654
111	1594	12643
112	1608	12624
113	1621	12603
114	1635	12589
115	1648	12566
116	1662	12548
117	1676	12529
118	1689	12508
119	1703	12494
120	1717	12476
121	1731	12460
122	1744	12436
123	1758	12420
124	1772	12407
125	1786	12389
126	1799	12369
127	1812	12349
128	1826	12329
129	1839	12313
130	1852	12289
131	1866	12273
132	1880	12261
133	1894	12244
134	1907	12222
135	1920	12202
136	1934	12183
137	1948	12168
138	1961	12147
139	1974	12130
140	1989	12119
141	2002	12102
142	2016	12087
143	2030	12068
144	2043	12049
145	2056	12028
146	2069	12010
147	2083	11992
148	2097	11978
149	2110	11960
150	2123	11937
151	2136	11919
152	2152	11915
153	2165	11894
154	2178	11875
155	2192	11862
156	2206	11849
157	2220	11833
158	2234	11819
159	2247	11800
160	2261	11786
161	2276	11775
162	2289	11755
163	2301	11732
164	2314	11714
165	2327	11695
166	2341	11679
167	2355	11663
168	2367	11642
169	2380	11622
170	2393	11602
171	2406	11584
172	2419	11564
173	2432	11545
174	2445	11527
175	2458	11511
176	2471	11493
177	2485	11478
178	2498	11459
179	2511	11442
180	2524	11424
181	2538	11410
182	2551	11393
183	2565	11378
184	2578	11361
185	2592	11345
186	2605	11328
187	2618	11311
188	2632	11294
189	2645	11277
190	2660	11268
191	2673	11251
192	2686	11233
193	2699	11217
194	2713	11200
195	2726	11185
196	2739	11166
197	2753	11154
198	2767	11138
199	2780	11123
200	2794	11107
201	2807	11092
202	2820	11074
203	2834	11060
204	2847	11042
205	2860	11024
206	2873	11008
207	2886	10991
208	2900	10977
209	2913	10958
210	2926	10944
211	2939	10925
212	2952	10909
213	2965	10891
214	2978	10874
215	2991	10856
216	3005	10845
217	3019	10830
218	3032	10814
219	3045	10797
220	3059	10785
221	3073	10771
222	3086	10755
223	3099	10739
224	3113	10725
225	3126	10706
226	3139	10690
227	3152	10673
228	3165	10658
229	3179	10642
230	3191	10625
231	3205	10611
